StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id,Type
940GZZDLRVC,dlr,dlr,940GZZDLRVC,Royal Victoria,3,HUBRVC,False,,False,0.0,,,,,
940GZZDLSHS,dlr,dlr,940GZZDLSHS,Stratford High Street,2|3,,False,,False,0.0,,,,,
940GZZDLSIT,dlr,dlr,940GZZDLSIT,Stratford International,2|3,,False,,False,0.0,940GZZDLSIT,FALSE,False,1.0,Male
940GZZDLSIT,dlr,dlr,940GZZDLSIT,Stratford International,2|3,,False,,False,0.0,940GZZDLSIT,FALSE,False,2.0,Female
940GZZDLSIT,dlr,dlr,940GZZDLSIT,Stratford International,2|3,,False,,False,0.0,940GZZDLSIT,TRUE,False,3.0,Unisex
940GZZDLSOQ,dlr,dlr,940GZZDLSOQ,South Quay,2,,False,,False,0.0,,,,,
940GZZDLSTL,dlr,dlr,940GZZDLSTL,Star Lane,2|3,,False,,False,0.0,,,,,
940GZZDLWFE,dlr,dlr,940GZZDLWFE,Westferry,2,,False,,False,0.0,,,,,
940GZZDLWIQ,dlr,dlr,940GZZDLWIQ,West India Quay,2,,False,,False,0.0,,,,,
940GZZDLWSV,dlr,dlr,940GZZDLWSV,West Silvertown,3,,False,,False,0.0,,,,,
940GZZLUACT,tube,district,940GZZLUACT,Acton Town,3,,True,,False,0.0,940GZZLUACT,FALSE,False,1.0,Male
940GZZLUACT,tube,district,940GZZLUACT,Acton Town,3,,True,,False,0.0,940GZZLUACT,FALSE,False,2.0,Female
