StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id
940GZZLUEHM,tube,district,940GZZLUEHM,East Ham,3|4,,True,,False,,,,,
940GZZLUEHM,tube,hammersmith-city,940GZZLUEHM,East Ham,3|4,,True,,False,,,,,
940GZZLUEMB,tube,circle,940GZZLUEMB,Embankment,1,,True,,False,,,,,
940GZZLUEMB,tube,district,940GZZLUEMB,Embankment,1,,True,,False,,,,,
940GZZLUEMB,tube,northern,940GZZLUEMB,Embankment,1,,True,,False,,,,,
940GZZLUEMB,tube,bakerloo,940GZZLUEMB,Embankment,1,,True,,False,,,,,
940GZZLUEPG,tube,central,940GZZLUEPG,Epping,6,,True,,True,6.0,940GZZLUEPG,FALSE,False,1.0
940GZZLUEPG,tube,central,940GZZLUEPG,Epping,6,,True,,True,6.0,940GZZLUEPG,FALSE,False,2.0
940GZZLUEPG,tube,central,940GZZLUEPG,Epping,6,,True,,True,6.0,940GZZLUEPG,TRUE,False,3.0
940GZZLUEPK,tube,district,940GZZLUEPK,Elm Park,6,,True,,False,,940GZZLUEPK,FALSE,False,1.0
940GZZLUEPK,tube,district,940GZZLUEPK,Elm Park,6,,True,,False,,940GZZLUEPK,FALSE,False,2.0
940GZZLUEPK,tube,district,940GZZLUEPK,Elm Park,6,,True,,False,,940GZZLUEPK,TRUE,False,3.0
940GZZLUEPY,tube,district,940GZZLUEPY,East Putney,2|3,,True,,False,,,,,
940GZZLUERB,tube,bakerloo,940GZZLUERB,Edgware Road,1,,True,,False,,,,,
940GZZLUERC,tube,circle,940GZZLUERC,Edgware Road,1,,True,,False,,,,,
940GZZLUERC,tube,hammersmith-city,940GZZLUERC,Edgware Road,1,,True,,False,,,,,
940GZZLUERC,tube,district,940GZZLUERC,Edgware Road,1,,True,,False,,,,,
940GZZLUESQ,tube,circle,940GZZLUESQ,Euston Square,1,,True,,False,,,,,
940GZZLUESQ,tube,hammersmith-city,940GZZLUESQ,Euston Square,1,,True,,False,,,,,
940GZZLUESQ,tube,metropolitan,940GZZLUESQ,Euston Square,1,,True,,False,,,,,
