PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GHKBG-Plat01-EB-national-rail,910GHKBG,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHKBG-Plat02-WB-national-rail,910GHKBG,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHMPSTDH-Plat01-WB-london-overground,910GHMPSTDH,mildmay,Richmond and Clapham Junction,,,,,,,False,,True,,
910GHMPSTDH-Plat02-EB-london-overground,910GHMPSTDH,mildmay,Gospel Oak,,,,,,,False,,True,,
910GHOMRTON-Plat01-WB-london-overground,910GHOMRTON,mildmay,Richmond and Clapham Junction,,,,,,,False,,True,,
910GHOMRTON-Plat02-EB-london-overground,910GHOMRTON,mildmay,Stratford,,,,,,,False,,True,,
910GHONROPK-Plat01-NB-london-overground|national-rail,910GHONROPK,windrush,Highbury & Islington,,,,,,,False,,True,,
910GHONROPK-Plat01-NB-london-overground|national-rail,910GHONROPK,national-rail,,,,,,,,False,,True,,
910GHONROPK-Plat02-SB-london-overground|national-rail,910GHONROPK,windrush,Crystal Palace and West Croydon,,,,,,,False,,True,,
910GHONROPK-Plat02-SB-london-overground|national-rail,910GHONROPK,national-rail,,,,,,,,False,,True,,
910GHOXTON-Plat01-NB-london-overground,910GHOXTON,windrush,Highbury & Islington,0.0,85.0,,0.0,50.0,,True,,False,,
910GHOXTON-Plat02-SB-london-overground,910GHOXTON,windrush,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0.0,85.0,,0.0,50.0,,True,,False,,
910GHRGYGL-Plat01-WB-london-overground,910GHRGYGL,suffragette,Gospel Oak,,,,,,,False,,True,,
910GHRGYGL-Plat02-EB-london-overground,910GHRGYGL,suffragette,Barking,,,,,,,False,,True,,
910GHRLDWOD-Plat01-WB-elizabeth,910GHRLDWOD,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GHRLDWOD-Plat02-EB-elizabeth,910GHRLDWOD,elizabeth,Shenfield,,,,,,,False,,True,,
910GHRLDWOD-Plat03-WB-elizabeth,910GHRLDWOD,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GHRLDWOD-Plat04-EB-elizabeth,910GHRLDWOD,elizabeth,Shenfield,,,,,,,False,,True,,
910GHTCHEND-Plat01-SB-london-overground,910GHTCHEND,lioness,,,,,,,,False,,False,,
910GHTCHEND-Plat02-NB-london-overground,910GHTCHEND,lioness,Watford Junction,,,,,,,False,,True,,
910GHYDNSRD-Plat01-NB-national-rail,910GHYDNSRD,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHYDNSRD-Plat02-SB-national-rail,910GHYDNSRD,national-rail,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GILFORD-Plat01-WB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,True,,
910GILFORD-Plat02-EB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,True,,
910GILFORD-Plat03-WB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,True,,
910GILFORD-Plat04-EB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,True,,
910GIVER-Plat01-WB-elizabeth|national-rail,910GIVER,elizabeth,Reading,,,,,,,False,,True,,
